                     Points      1st      2nd      3rd      4th      5th      7th      9th     13th     17th     25th     33rd     49th
  Armada              73.47   477276   170026    99132    76946    73300    37674    36143    10451    14367     3089     1596        0
  Hungrybox           51.77   173579   170871   123297   134869   141283    85095    87519    41327    27525     9840     4795        0
  Mew2King            45.28   101507   171882   147174    92992   147451    87673    93234    55446    62939    22443    17259        0
  Mango               43.43   104933   130401   106230   144556   155741   110327   120774    51228    60818     5820     9172        0
  Leffen              41.96    85867   147007   132858    90818   160070    77795   135260    53618    66768    32158    17781        0
  Plup                26.74    17268    50945    72054    61551   149312   107035   227620   128027    80207    61693    44288        0
  Westballz           24.19    10170    24751    37702    75091   129605   188191   302538    45488    77718    42981    65765        0
  SFAT                22.73     7159    29705    50684    49854   135500   125504   187231   132894   181651    41344    58474        0
  Axe                 21.43     3254    16927    37771    40442   130603   135699   234288   160067   221641    10079     9229        0
  Ice                 18.75     3585    16593    32239    29896    93139    89364   222725   180487   130393   103715    97864        0
  Wizzrobe            18.48     2915     9347    16774    33936    92696   111803   201971   198695   317344    10113     4406        0
  PewPewU             17.78     3588    16613    31794    26220    76321    89949   146450   172106   255982   128644    52333        0
  Shroomed            14.83     1476     5021     9227    19155    55324    77069   139930   213151   263697   110719   105231        0
  Duck                14.51     1049     6791    18279    15050    53144    53364   159609   153531   246739   149442   143002        0
  S2J                 13.27      748     2694     5687     9802    39208    54206   136578   162332   363863   122125   102757        0
  Druggedfox          13.01      599     3618     9847     9842    40485    51058   154414   186981   127350   189869   225937        0
  ChuDat              12.77      725     2630     5347    11301    34810    55277   110739   189313   275539   151890   162429        0
  Lucky               12.66      646     4068    10717     9025    34590    47709    99137   147039   288395   239828   118846        0
  Colbol              12.56      553     2162     5522    11801    36084    69806   190256    63345   168071   146534   305866        0
  Nintendude          12.40      510     1873     4121     7662    30948    43774   119909   152956   363637   145520   129090        0
  n0ne                12.37      382     3337    10183     8640    35459    38227   125675   136811   248877   189000   203409        0
  Laudandus           12.37      959     5476    13072    11092    38340    43118   104445    96146   210551   261960   214841        0
  dizzkidboogie       11.41      264     1870     5754     5829    27307    38528   122999   171816    94352   251913   279368        0
  MacD                10.98      171     1293     4201     5542    26483    36320    89828   113370   278463   158389   285940        0
  KirbyKaze           10.53      396     1371     2565     6292    14879    34853    70879   109364   331205   124807   303389        0
  Zhu                  9.53      297     1916     5608     4435    17642    21621    50928    71711   181137   255594   389111        0
  MikeHaze             8.50       50      247      601     1563     5825    13962    36938    70013   172253   324837   373711        0
  Professor_Pro        8.15        0        0        3        1      147      542    16748    24606   461100    46265   450588        0
  Swedish_Delight      8.14        0        0        1        7      161      566    16477    24612   461057    45934   451185        0
  KJH                  8.01       36      169      534     1053     4112     6527    28575    50364   165771   325472   417387        0
  Chillindude          7.50        0       16       60      419     1198     4950    25991    55380   171712   365572    52559   322143
  Santiago             7.21       17       73      133      551     1088     4476    10248    28049   134239   434474   165665   220987
  Azusa                7.06        5       65      158      497     2571     5151    14380    44164   138278   133770   564177    96784
  Smashg0d             6.97        2       51      102      513     1229     5915    14335    40095   157878    85065   577921   116894
  Gahtzu               6.48        0        6       21       90      716     2203     8199    32491   124426   294679    64964   472205
  The_Moon             6.30        0        1        0        0        5       17      480     2016    46517   234753   716211        0
  Slox                 6.26        0        4       16      101      639     2225     7535    15301    57600   144390   657468   114721
  Lovage               6.25        1       11       37      135      888     2524     7958    28735   108116   262890    60910   527795
  Darkatma             6.24        0        0        0        2        1     1187     6396    18239    72472   127343   642118   132242
  Bladewise            6.03        2       19       37      200     1311     3134     9084    22516    73887   142940   338817   408053
